Command: ./simv_simple_fsm -cm line+cond+fsm+branch+tgl -cm_name simv_simple_fsm -cm_dir ./simv_simple_fsm.vdb +vpdfile+simv_simple_fsm.vpd -l simv_simple_fsm.log
Chronologic VCS simulator copyright 1991-2016
Contains Synopsys proprietary information.
Compiler version L-2016.06_Full64; Runtime version L-2016.06_Full64;  Jun  6 20:34 2021
*Verdi3* Loading libsscore_vcs201606.so
*Verdi3* : FSDB_GATE is set.
*Verdi3* : FSDB_RTL is set.
*Verdi3* : Enable Parallel Dumping.
FSDB Dumper for VCS, Release Verdi3_L-2016.06-1, Linux x86_64/64bit, 07/10/2016
(C) 1996 - 2016 by Synopsys, Inc.
*Verdi3* : Create FSDB file 'simple_fsm.fsdb'
*Verdi3* : Begin traversing the scope (tb_simple_fsm), layer (0).
*Verdi3* : End of traversing.
@time 2720ns: pi_money=1 state=100 po_cola=0
@time 2740ns: pi_money=0 state=001 po_cola=1
@time 2760ns: pi_money=0 state=001 po_cola=0
@time 2780ns: pi_money=1 state=001 po_cola=0
@time 2800ns: pi_money=0 state=010 po_cola=0
@time 2860ns: pi_money=1 state=010 po_cola=0
@time 2880ns: pi_money=0 state=100 po_cola=0
@time 2920ns: pi_money=1 state=100 po_cola=0
@time 2940ns: pi_money=0 state=001 po_cola=1
@time 2960ns: pi_money=1 state=001 po_cola=0
@time 2980ns: pi_money=1 state=010 po_cola=0
@time 3000ns: pi_money=1 state=100 po_cola=0
@time 3020ns: pi_money=1 state=001 po_cola=1
@time 3040ns: pi_money=1 state=010 po_cola=0
@time 3060ns: pi_money=0 state=100 po_cola=0
@time 3120ns: pi_money=1 state=100 po_cola=0
@time 3140ns: pi_money=0 state=001 po_cola=1
@time 3160ns: pi_money=0 state=001 po_cola=0
@time 3180ns: pi_money=1 state=001 po_cola=0
@time 3200ns: pi_money=1 state=010 po_cola=0
@time 3220ns: pi_money=0 state=100 po_cola=0
@time 3280ns: pi_money=1 state=100 po_cola=0
@time 3300ns: pi_money=1 state=001 po_cola=1
@time 3320ns: pi_money=0 state=010 po_cola=0
@time 3380ns: pi_money=1 state=010 po_cola=0
@time 3400ns: pi_money=1 state=100 po_cola=0
@time 3420ns: pi_money=0 state=001 po_cola=1
@time 3440ns: pi_money=0 state=001 po_cola=0
@time 3480ns: pi_money=1 state=001 po_cola=0
@time 3500ns: pi_money=0 state=010 po_cola=0
@time 3540ns: pi_money=1 state=010 po_cola=0
@time 3560ns: pi_money=0 state=100 po_cola=0
@time 3620ns: pi_money=1 state=100 po_cola=0
@time 3640ns: pi_money=0 state=001 po_cola=1
@time 3660ns: pi_money=1 state=001 po_cola=0
@time 3680ns: pi_money=1 state=010 po_cola=0
@time 3700ns: pi_money=0 state=100 po_cola=0
@time 3780ns: pi_money=1 state=100 po_cola=0
@time 3800ns: pi_money=0 state=001 po_cola=1
@time 3820ns: pi_money=0 state=001 po_cola=0
@time 3880ns: pi_money=1 state=001 po_cola=0
@time 3900ns: pi_money=1 state=010 po_cola=0
@time 3920ns: pi_money=1 state=100 po_cola=0
@time 3940ns: pi_money=0 state=001 po_cola=1
@time 3960ns: pi_money=1 state=001 po_cola=0
@time 3980ns: pi_money=1 state=010 po_cola=0
@time 4000ns: pi_money=1 state=100 po_cola=0
@time 4020ns: pi_money=0 state=001 po_cola=1
@time 4040ns: pi_money=0 state=001 po_cola=0
@time 4060ns: pi_money=1 state=001 po_cola=0
@time 4080ns: pi_money=1 state=010 po_cola=0
@time 4100ns: pi_money=1 state=100 po_cola=0
@time 4120ns: pi_money=1 state=001 po_cola=1
@time 4140ns: pi_money=1 state=010 po_cola=0
@time 4160ns: pi_money=0 state=100 po_cola=0
@time 4180ns: pi_money=1 state=100 po_cola=0
@time 4200ns: pi_money=1 state=001 po_cola=1
@time 4220ns: pi_money=0 state=010 po_cola=0
@time 4300ns: pi_money=1 state=010 po_cola=0
@time 4320ns: pi_money=1 state=100 po_cola=0
@time 4340ns: pi_money=0 state=001 po_cola=1
@time 4360ns: pi_money=0 state=001 po_cola=0
@time 4380ns: pi_money=1 state=001 po_cola=0
@time 4400ns: pi_money=0 state=010 po_cola=0
@time 4440ns: pi_money=1 state=010 po_cola=0
@time 4460ns: pi_money=0 state=100 po_cola=0
@time 4500ns: pi_money=1 state=100 po_cola=0
@time 4520ns: pi_money=0 state=001 po_cola=1
@time 4540ns: pi_money=0 state=001 po_cola=0
@time 4560ns: pi_money=1 state=001 po_cola=0
@time 4580ns: pi_money=1 state=010 po_cola=0
@time 4600ns: pi_money=1 state=100 po_cola=0
@time 4620ns: pi_money=0 state=001 po_cola=1
@time 4640ns: pi_money=0 state=001 po_cola=0
@time 4680ns: pi_money=1 state=001 po_cola=0
@time 4700ns: pi_money=0 state=010 po_cola=0
@time 4740ns: pi_money=1 state=010 po_cola=0
@time 4760ns: pi_money=0 state=100 po_cola=0
@time 4840ns: pi_money=1 state=100 po_cola=0
@time 4860ns: pi_money=0 state=001 po_cola=1
@time 4880ns: pi_money=0 state=001 po_cola=0
@time 4920ns: pi_money=1 state=001 po_cola=0
@time 4940ns: pi_money=1 state=010 po_cola=0
@time 4960ns: pi_money=0 state=100 po_cola=0
@time 4980ns: pi_money=1 state=100 po_cola=0
@time 5000ns: pi_money=1 state=001 po_cola=1
@time 5020ns: pi_money=1 state=010 po_cola=0
@time 5040ns: pi_money=1 state=100 po_cola=0
@time 5060ns: pi_money=0 state=001 po_cola=1
@time 5080ns: pi_money=1 state=001 po_cola=0
@time 5100ns: pi_money=1 state=010 po_cola=0
@time 5120ns: pi_money=1 state=100 po_cola=0
@time 5140ns: pi_money=0 state=001 po_cola=1
@time 5160ns: pi_money=0 state=001 po_cola=0
@time 5180ns: pi_money=1 state=001 po_cola=0
@time 5200ns: pi_money=0 state=010 po_cola=0
@time 5240ns: pi_money=1 state=010 po_cola=0
@time 5260ns: pi_money=1 state=100 po_cola=0
@time 5280ns: pi_money=0 state=001 po_cola=1
@time 5300ns: pi_money=0 state=001 po_cola=0
@time 5320ns: pi_money=1 state=001 po_cola=0
@time 5340ns: pi_money=0 state=010 po_cola=0
@time 5380ns: pi_money=1 state=010 po_cola=0
@time 5400ns: pi_money=0 state=100 po_cola=0
@time 5420ns: pi_money=1 state=100 po_cola=0
@time 5440ns: pi_money=1 state=001 po_cola=1
@time 5460ns: pi_money=0 state=010 po_cola=0
@time 5480ns: pi_money=1 state=010 po_cola=0
@time 5500ns: pi_money=0 state=100 po_cola=0
@time 5520ns: pi_money=1 state=100 po_cola=0
@time 5540ns: pi_money=0 state=001 po_cola=1
@time 5560ns: pi_money=0 state=001 po_cola=0
@time 5580ns: pi_money=1 state=001 po_cola=0
@time 5600ns: pi_money=0 state=010 po_cola=0
@time 5660ns: pi_money=1 state=010 po_cola=0
@time 5680ns: pi_money=1 state=100 po_cola=0
@time 5700ns: pi_money=1 state=001 po_cola=1
@time 5720ns: pi_money=1 state=010 po_cola=0
@time 5740ns: pi_money=1 state=100 po_cola=0
@time 5760ns: pi_money=0 state=001 po_cola=1
@time 5780ns: pi_money=1 state=001 po_cola=0
@time 5800ns: pi_money=1 state=010 po_cola=0
@time 5820ns: pi_money=1 state=100 po_cola=0
@time 5840ns: pi_money=0 state=001 po_cola=1
@time 5860ns: pi_money=0 state=001 po_cola=0
@time 5960ns: pi_money=1 state=001 po_cola=0
@time 5980ns: pi_money=1 state=010 po_cola=0
@time 6000ns: pi_money=1 state=100 po_cola=0
@time 6020ns: pi_money=1 state=001 po_cola=1
@time 6040ns: pi_money=1 state=010 po_cola=0
@time 6060ns: pi_money=1 state=100 po_cola=0
@time 6080ns: pi_money=1 state=001 po_cola=1
@time 6100ns: pi_money=0 state=010 po_cola=0
@time 6120ns: pi_money=1 state=010 po_cola=0
@time 6140ns: pi_money=1 state=100 po_cola=0
@time 6160ns: pi_money=1 state=001 po_cola=1
@time 6180ns: pi_money=1 state=010 po_cola=0
@time 6200ns: pi_money=1 state=100 po_cola=0
@time 6220ns: pi_money=1 state=001 po_cola=1
@time 6240ns: pi_money=1 state=010 po_cola=0
@time 6260ns: pi_money=1 state=100 po_cola=0
@time 6280ns: pi_money=0 state=001 po_cola=1
@time 6300ns: pi_money=0 state=001 po_cola=0
@time 6320ns: pi_money=1 state=001 po_cola=0
@time 6340ns: pi_money=1 state=010 po_cola=0
@time 6360ns: pi_money=0 state=100 po_cola=0
@time 6440ns: pi_money=1 state=100 po_cola=0
@time 6460ns: pi_money=0 state=001 po_cola=1
@time 6480ns: pi_money=0 state=001 po_cola=0
@time 6580ns: pi_money=1 state=001 po_cola=0
@time 6600ns: pi_money=0 state=010 po_cola=0
@time 6640ns: pi_money=1 state=010 po_cola=0
@time 6660ns: pi_money=0 state=100 po_cola=0
@time 6740ns: pi_money=1 state=100 po_cola=0
@time 6760ns: pi_money=1 state=001 po_cola=1
@time 6780ns: pi_money=1 state=010 po_cola=0
@time 6800ns: pi_money=1 state=100 po_cola=0
@time 6820ns: pi_money=1 state=001 po_cola=1
@time 6840ns: pi_money=0 state=010 po_cola=0
@time 6860ns: pi_money=1 state=010 po_cola=0
@time 6880ns: pi_money=1 state=100 po_cola=0
@time 6900ns: pi_money=1 state=001 po_cola=1
@time 6920ns: pi_money=0 state=010 po_cola=0
@time 6940ns: pi_money=1 state=010 po_cola=0
@time 6960ns: pi_money=0 state=100 po_cola=0
@time 7000ns: pi_money=1 state=100 po_cola=0
@time 7020ns: pi_money=1 state=001 po_cola=1
@time 7040ns: pi_money=0 state=010 po_cola=0
@time 7060ns: pi_money=1 state=010 po_cola=0
@time 7080ns: pi_money=0 state=100 po_cola=0
@time 7120ns: pi_money=1 state=100 po_cola=0
@time 7140ns: pi_money=0 state=001 po_cola=1
@time 7160ns: pi_money=0 state=001 po_cola=0
@time 7220ns: pi_money=1 state=001 po_cola=0
@time 7240ns: pi_money=1 state=010 po_cola=0
@time 7260ns: pi_money=1 state=100 po_cola=0
@time 7280ns: pi_money=1 state=001 po_cola=1
@time 7300ns: pi_money=0 state=010 po_cola=0
@time 7320ns: pi_money=1 state=010 po_cola=0
@time 7340ns: pi_money=1 state=100 po_cola=0
@time 7360ns: pi_money=1 state=001 po_cola=1
@time 7380ns: pi_money=1 state=010 po_cola=0
@time 7400ns: pi_money=1 state=100 po_cola=0
@time 7420ns: pi_money=1 state=001 po_cola=1
@time 7440ns: pi_money=1 state=010 po_cola=0
@time 7460ns: pi_money=0 state=100 po_cola=0
@time 7480ns: pi_money=1 state=100 po_cola=0
@time 7500ns: pi_money=0 state=001 po_cola=1
@time 7520ns: pi_money=1 state=001 po_cola=0
@time 7540ns: pi_money=0 state=010 po_cola=0
@time 7580ns: pi_money=1 state=010 po_cola=0
@time 7600ns: pi_money=0 state=100 po_cola=0
@time 7700ns: pi_money=1 state=100 po_cola=0
@time 7720ns: pi_money=0 state=001 po_cola=1
@time 7740ns: pi_money=0 state=001 po_cola=0
@time 7840ns: pi_money=1 state=001 po_cola=0
@time 7860ns: pi_money=0 state=010 po_cola=0
@time 7880ns: pi_money=1 state=010 po_cola=0
@time 7900ns: pi_money=0 state=100 po_cola=0
@time 7940ns: pi_money=1 state=100 po_cola=0
@time 7960ns: pi_money=0 state=001 po_cola=1
@time 7980ns: pi_money=1 state=001 po_cola=0
@time 8000ns: pi_money=1 state=010 po_cola=0
@time 8020ns: pi_money=0 state=100 po_cola=0
@time 8040ns: pi_money=1 state=100 po_cola=0
@time 8060ns: pi_money=0 state=001 po_cola=1
@time 8080ns: pi_money=1 state=001 po_cola=0
@time 8100ns: pi_money=0 state=010 po_cola=0
@time 8180ns: pi_money=1 state=010 po_cola=0
@time 8200ns: pi_money=0 state=100 po_cola=0
@time 8220ns: pi_money=1 state=100 po_cola=0
@time 8240ns: pi_money=0 state=001 po_cola=1
@time 8260ns: pi_money=1 state=001 po_cola=0
@time 8280ns: pi_money=1 state=010 po_cola=0
@time 8300ns: pi_money=0 state=100 po_cola=0
@time 8320ns: pi_money=1 state=100 po_cola=0
@time 8340ns: pi_money=0 state=001 po_cola=1
@time 8360ns: pi_money=1 state=001 po_cola=0
@time 8380ns: pi_money=1 state=010 po_cola=0
@time 8400ns: pi_money=1 state=100 po_cola=0
@time 8420ns: pi_money=0 state=001 po_cola=1
@time 8440ns: pi_money=1 state=001 po_cola=0
@time 8460ns: pi_money=1 state=010 po_cola=0
@time 8480ns: pi_money=0 state=100 po_cola=0
@time 8520ns: pi_money=1 state=100 po_cola=0
@time 8540ns: pi_money=1 state=001 po_cola=1
@time 8560ns: pi_money=0 state=010 po_cola=0
@time 8600ns: pi_money=1 state=010 po_cola=0
@time 8620ns: pi_money=1 state=100 po_cola=0
@time 8640ns: pi_money=0 state=001 po_cola=1
@time 8660ns: pi_money=0 state=001 po_cola=0
@time 8680ns: pi_money=1 state=001 po_cola=0
@time 8700ns: pi_money=0 state=010 po_cola=0
@time 8740ns: pi_money=1 state=010 po_cola=0
@time 8760ns: pi_money=1 state=100 po_cola=0
@time 8780ns: pi_money=0 state=001 po_cola=1
@time 8800ns: pi_money=0 state=001 po_cola=0
@time 8820ns: pi_money=1 state=001 po_cola=0
@time 8840ns: pi_money=0 state=010 po_cola=0
@time 8880ns: pi_money=1 state=010 po_cola=0
@time 8900ns: pi_money=1 state=100 po_cola=0
@time 8920ns: pi_money=0 state=001 po_cola=1
@time 8940ns: pi_money=1 state=001 po_cola=0
@time 8960ns: pi_money=0 state=010 po_cola=0
@time 8980ns: pi_money=1 state=010 po_cola=0
@time 9000ns: pi_money=1 state=100 po_cola=0
@time 9020ns: pi_money=0 state=001 po_cola=1
@time 9040ns: pi_money=1 state=001 po_cola=0
@time 9060ns: pi_money=1 state=010 po_cola=0
@time 9080ns: pi_money=1 state=100 po_cola=0
@time 9100ns: pi_money=0 state=001 po_cola=1
@time 9120ns: pi_money=1 state=001 po_cola=0
@time 9140ns: pi_money=1 state=010 po_cola=0
@time 9160ns: pi_money=1 state=100 po_cola=0
@time 9180ns: pi_money=0 state=001 po_cola=1
